data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido,codice_nuts_1,codice_nuts_2
2023-06-08T17:00:00,ITA,14,Molise,41.55774754,14.65916051,7,1,8,339,347,-27,3,101807,735,,,102889,820199,772002,,0,,,29815,73074,538858,281341,ITF,ITF2
2023-06-08T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,9,0,9,25,34,-1,4,294721,1621,,,296376,5607423,868480,"4 nuovi positivi di cui 0 test antigenici confermati da test molecolare, 3 casi diagnosticati con test antigenico e 1 nuovi positivi al test PCR. ",0,,"4 nuovi positivi di cui 0 test antigenici confermati da test molecolare, 3 casi diagnosticati con test antigenico e 1 nuovi positivi al test PCR. ",87154,209222,940049,4667374,ITH,ITH1
2023-06-08T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,9,0,9,75,84,1,8,244789,1656,,,246529,3055941,606555,,0,,,45157,201372,875311,2180630,ITH,ITH2
2023-06-08T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,101,1,102,29073,29175,5,61,1693883,13859,,,1736917,21837972,4427349,,0,,,518143,1218774,5133782,16704190,ITC,ITC1
2023-06-08T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,69,3,72,958,1030,2,61,1630089,9809,,,1640928,14097027,2935959,,0,,,513387,1127541,4866903,9230124,ITF,ITF4
2023-06-08T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,77,3,80,4269,4349,67,85,508293,2955,,,515597,5479421,1764320,,0,,"L'incremento dei nuovi casi tiene conto anche dei casi diagnosticati con test antigenico.  Pertanto si specifica che dei 85 casi dichiarati oggi, 80 sono stati diagnosticati da tampone antigenico ",180186,335411,2243763,3235658,ITG,ITG2
2023-06-08T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,167,10,177,4722,4899,-33,95,1810433,12807,,,1828139,16879877,11216972,,2,,,539916,1288223,5456421,11423456,ITG,ITG1
2023-06-08T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,114,3,117,3387,3504,-162,84,1590836,11834,,,1606174,16859878,5423395,,0,,,717988,888186,7098560,9761318,ITI,ITI1
2023-06-08T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,50,0,50,619,669,-11,33,441425,2494,,,444588,5079966,817469,- Si fa presente che 0 dei ricoveri non UTI appartengono ai codici disciplina di Ostetricia & Ginecologia e Pediatria. - Si fa presente che 30 dei ricoveri non UTI appartengono ad altri codici disciplina.,0,,,159734,284854,1759181,3320785,ITI,ITI2
2023-06-08T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,1,0,1,7,8,2,2,50302,573,,,50883,595259,146900,,0,,,16262,34621,145902,449357,ITC,ITC2
2023-06-08T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,173,5,178,15526,15704,100,112,2696292,16893,,,2728889,37951467,5339642,Nei valori riportati per le terapie intensive si è verificato un disallineamento temporale del flusso informativo pertanto per convenzione è stato riportato 2 dimessi da TI  invece del n. 1 effettivi che include anche i negativizzati. Si segnala inoltre che nel dato riportato nei dati Casi per provincia è presente un delta negativo registrato per i casi positivi nella provincia di Rovigo. Dall'analisi effettuata emerge che il delta negativo registrato è un risultato fisiologico dell’elaborazione che registra pochi casi nuovi di positività e che può essere indotto in particolare da un cambio domicilio/residenza o variazioni inviate sugli episodi precedenti.,1,,,1079389,1649500,11716357,26235110,ITH,ITH3
